Found 150 potential Musky products.

- Fakhr Lattafa (فخر لطافة) | Category: Oriental | Notes: Oud, Rose, Saffron, Amber, Musk, Sandalwood, Patchouli, Vanilla
- Xerjoff Alexandria II | Category: Oriental | Notes: Bergamot, Pink Pepper, Saffron, Rose, Iris, Oud, Sandalwood, Tonka Bean, Amber, Musk
- Xerjoff Renaissance | Category: Citrus | Notes: Bergamot, Rose, Jasmine, Iris, Oud, Sandalwood, Amber, Musk, Vanilla
- Tom Ford Vanille Fatale | Category: Sweet | Notes: Davana, Saffron, Cinnamon, Vanilla, Peru Balsam, Tobacco, Amber, Musk
- Montale Arabians Tonka | Category: Oriental | Notes: Saffron, Bergamot, Oud, Bulgarian Rose, Tonka Bean, Sugar Cane, Amber, White Musk, Oakmoss
- Pink Me Up | Category: Fruity | Notes: bergamot, orange blossom, champagne accord, rose centifolia, blackberry, patchouli, musk
- For Her Intense | Category: Musky | Notes: peach, Calabrian bergamot, musk, white blossoms, red lily, amber, vanilla, moss, vetiver
- For Her Musc Noir Rose | Category: Musky | Notes: plum, pink pepper, bergamot, musk, rose, tuberose, vanilla
- All Of Me | Category: Floral | Notes: magnolia, rose, bourbon geranium, musk, sandalwood
- Narciso | Category: Musky | Notes: gardenia, white rose, musk, white cedar extract, cedar, vetiver
- Narcisse Noir | Category: Oriental | Notes: narcissus, African orange flower, jasmine, orange, tincture of rose, sandalwood, musk, vetiver
- Nina | Category: Sweet | Notes: Italian lemon, lime, candied apple, caramel, gardenia, cedarwood, white musk
- Ma Dame | Category: Floral | Notes: orange, grenadine, rose, musk, Virginia cedar
- Her | Category: Fruity | Notes: strawberry, raspberry, blackberry, sour cherry, black currant, mandarin orange, lemon, violet, jasmine, musk, vanilla, cashmeran, woody notes, amber, oakmoss, patchouli
- Miami Blossom | Category: Fruity | Notes: watermelon, blueberry, orange, pineapple, tiare flower, jasmine, tuberose, ambroxan, musk, sandalwood
- Supreme Bouquet | Category: Floral | Notes: fruity notes, pear, pink pepper, tuberose, ylang-ylang, jasmine, amber, musk, patchouli
- Escada Margaretha Ley | Category: Oriental | Notes: hyacinth, coconut, peach, bergamot, ylang-ylang, jasmine, clove, African orange flower, iris, sandalwood, vanilla, musk
- Premier Jour | Category: Floral | Notes: sweet pea, mandarin orange, gardenia, orchid, musk, sandalwood, woodsy notes, vanilla
- Gi | Category: Musky | Notes: pink pepper, white musk, peony, iris
- Dylan Purple | Category: Fruity | Notes: bitter orange, pear, bergamot, purple freesia, pomarose, mahonial, ambrox, Iso E Super, belambre woods, Virginia cedar, musk
- Fleur Majesty Rose Royale | 31 | Category: Floral | Notes: pear, peach, mandarin, orange, rose, peony, violet, magnolia, musk, vanilla, ambrox super, praline, vetiver
- Voilà! | Category: Oriental | Notes: orange blossom, heliotrope, honey, mandarin orange, jasmine, amber, rose, musk
- Ajwad | Category: Fruity | Notes: fruity notes, rose, jasmine, orris, vanilla, cedar, amber, musk
- Pink Sugar | Category: Sweet | Notes: raspberry, orange, bergamot, fig leaf, cotton candy, licorice, strawberry, red berries, lily-of-the-valley, caramel, vanilla, musk, tonka bean, sandalwood
- Chance Splendide | Category: Floral | Notes: raspberry accord, rose, violet, geranium, iris, cedar, white musk
- Eclaire | Category: Sweet | Notes: caramel, milk, sugar, white flowers, honey, vanilla, praline, musk
- California Dream | Category: Citrus | Notes: mandarin orange, pear, ambrette (musk mallow), musk, benzoin
- Irresistible Givenchy | Category: Fruity | Notes: pear, ambrette (musk mallow), rose, iris, musk, Virginia cedar
- Insolence | Category: Floral | Notes: raspberry, red berries, bergamot, lemon, violet, rose, orange blossom, iris, tonka bean, resins, musk, sandalwood
- Comme une Evidence | Category: Musky | Notes: rhubarb, violet leaf, lily-of-the-valley, rose, oakmoss, patchouli, musk
- Incidence | Category: Fruity | Notes: pear, bergamot, mandarin, rose, jasmine, iris, cedar, musk, amber
- Daisy | Category: Floral | Notes: violet leaf, blood grapefruit, strawberry, violet, gardenia, jasmine, musk, white woods, vanilla
- Diamant | Category: Sweet | Notes: bergamot, pear, jasmine, orange blossom, vanilla, praline, musk
- Étoile Filante | Category: Fruity | Notes: strawberry, osmanthus, jasmine, magnolia, white musk
- Orchid | Category: Floral | Notes: bergamot, pear, rose, jasmine, vanilla, musk
- Chance | Category: Floral | Notes: pink pepper, lemon, pineapple, hyacinth, jasmine, iris, patchouli, vetiver, white musk, vanilla
- Sense | Category: Musky | Notes: bergamot, pear, jasmine, orange blossom, vanilla, amber, musk
